Review_ID,Review text,Aspect,Category,Opinion,Sentiment,Aspect.1,Category.1,Opinion.1,Sentiment.1,F1 ,Case_Type,Case_Description
22,there is no gym,gym ,Amenities ,null,Negative,gym,Amenities,no gym,Negative,0.00,partial_match,Implicit 
23,Very friendly staff; made us feel at home. Excellent lunch buffet. Very helpful chauffeurs for quick airport transfer.,staff,Human Resources ,friendly ,Positive,staff,Human Resources,friendly,Positive,28.57,exact_match,
23,,lunch ,Food and beverage,Excellent ,Positive,lunch buffet,Food and Beverage,excellent,Positive,,partial_match,span_misalignment
23,,chauffeurs ,Human Resources , helpful,Positive,chauffeurs,Human Resources,very helpful,Positive,,partial_match,span_misalignment
23,,,,,,airport transfer,General,quick,Positive,,exact_mismatch,missed_prediction
24,"The location is good but there is no breakfast, wifi and the hotel is not clean",location ,Location,good ,Positive,location,Location,good,Positive,25.00,exact_match,
24,,breakfast,Food and beverage,null,Negative,breakfast,Food and Beverage,no breakfast,Negative,,partial_match,Implicit 
24,,wifi ,Engineering,null,Negative,wifi,Amenities,no wifi,Negative,,partial_match,Implicit 
24,,hotel ,Housekeeping,not clean,Negative,hotel,General,not clean,Negative,,partial_match,category_only_mismatch
25,The price was high compared to the quality and location,price,Value,high,Negative,,,,,0.00,exact_mismatch,missed_actual
25,,,,,,price,Value,high compared to quality,Negative,,exact_mismatch,missed_prediction
25,,,,,,price,Value,high compared to location,Negative,,exact_mismatch,missed_prediction
26,location is superb,location ,Location,superb,Positive,location,Location,superb,Positive,100.00,exact_match,
27,"Friendly staff, nice box of bathroom materials (toothbrush, soap etc). TV had a few English channels. English was spoken.",staff,Human Resources ,Friendly ,Positive,staff,Human Resources,friendly,Positive,25.00,exact_match,
27,,TV,Amenities ,null,Positive,TV,Amenities,had a few English channels,Positive,,partial_match,Implicit 
27,,box,Amenities ,nice ,Positive,box of bathroom materials,Amenities,nice ,Positive,,partial_match,span_misalignment
27,,null,Human Resources ,null,Positive,staff,Human Resources,English was spoken,Positive,,partial_match,Implicit 
28,feel happy staying at holiday inn jeddah gateway.,staying,General,happy ,Positive,staying,General,happy ,Positive,100.00,exact_match,
29,I like to stay there very neat and clean .comfortble mattress and pillows . Electric cattle shampoo  shower gel teeth care  all  avaible and service able.,null,Housekeeping,neat and clean,Positive,hotel,Housekeeping,very neat and clean,Positive,0.00,partial_match,Implicit 
29,,,,,,mattress,Furniture,comfortable,Positive,,exact_mismatch,missed_prediction
29,,,,,,pillows,Furniture,comfortable,Positive,,exact_mismatch,missed_prediction
29,,,,,,electric kettle,Amenities,available and serviceable,Positive,,exact_mismatch,missed_prediction
29,,,,,,shampoo,Amenities,available and serviceable,Positive,,exact_mismatch,missed_prediction
29,,,,,,shower gel,Amenities,available and serviceable,Positive,,exact_mismatch,missed_prediction
29,,,,,,teeth care,Amenities,available and serviceable,Positive,,exact_mismatch,missed_prediction
29,,Electric cattle shampoo  shower gel teeth care,Amenities ,avaible and service able,Positive,,,,,,exact_mismatch,missed_actual
29,,mattress and pillows ,Furniture ,comfortble,Positive,,,,,,exact_mismatch,missed_actual
30,"Clean, neat and well managed hotel. Inhouse restaurant that serve variety of food options at reasonable price. Excellent stay and amazing staff.",hotel,General,"clean, neat and well managed",Positive,hotel,General,"clean, neat and well managed",Positive,57.14,exact_match,
30,,restaurant ,Food and beverage,variety of food ,Positive,restaurant,Food and Beverage,variety of food ,Positive,,exact_match,
30,,,,,,food options,Food and Beverage,reasonable price,Positive,,exact_mismatch,missed_prediction
30,,,,,,stay,General,excellent,Positive,,exact_mismatch,missed_prediction
30,,,,,,staff,Human Resources,amazing,Positive,,exact_mismatch,missed_prediction
31, i called the reception they didn't help ,reception ,Human Resources ,didn't help,Negative,reception,Human Resources,didn't help,Negative,100.00,exact_match,
32,A little bit slow check in,check in ,Front office,slow ,Negative,check-in,Front Office,a little bit slow,Negative,0.00,partial_match,span_misalignment
33,Nouran at front desk was very helpful. The only member of staff who could speak English. She was very friendly. Helped with arranging taxis too! :),Nouran,Human Resources ,friendly ,Positive,Nouran,Human Resources,very helpful,Positive,0.00,partial_match,
33,,Nouran,Human Resources ,helpful,Positive,Nouran,Human Resources,speak English,Positive,,partial_match,
33,,Nouran,Human Resources ,speak English,Positive,Nouran,Human Resources,very friendly,Positive,,partial_match,
33,,,,,,Nouran,Human Resources,helped with arranging taxis,Positive,,exact_mismatch,
34,There was a very bad smell in the bathroom,bathroom,Housekeeping,bad smell,Negative,bathroom,Housekeeping,very bad smell,Negative,0.00,partial_match,span_misalignment
35,Saudi staff. Need somebody who can speak English also.,staff,Human Resources ,Saudi staff,Nuetral ,staff,Human Resources,Saudi staff,Neutral,66.66,exact_match,
35,,,,,,staff,Human Resources,need somebody who can speak English,Negative,,exact_mismatch,missed_prediction
36,The mattress was torn off and uncomfortable,mattress,Amenities ,torn off and uncomfortable,Negative,mattress,Furniture,torn off and uncomfortable,Negative,0.00,partial_match,category_only_mismatch
37,It was nice and clean and the staff could speak English. Very good value for money.,value,Value,good,Positive,value,Value,very good ,Positive,33.33,exact_match,
37,,null,General,nice and clean,Positive,hotel,General,nice and clean,Positive,,partial_match,Implicit 
37,,staff,Human Resources , speak English,Positive,staff,Human Resources,could speak English,Positive,,partial_match,span_misalignment
38,Crowded elevators.,elevators,Amenities ,Crowded,Negative,elevators,Amenities ,Crowded,Negative,100.00,exact_match,
39,There is free breakfast and room price is reasonable.,breakfast,Food and beverage,free,Positive,breakfast,Food and Beverage,free,Positive,50.00,exact_match,
39,,price,Value,reasonable,Positive,room price,Value,reasonable,Positive,,partial_match,span_misalignment
40,"the room was dirty. the room smelled like there is a plumbing problem in the building. the free breakfast was absolutely disgusting, and the bed was has hard as concrete",room ,Housekeeping,dirty,Negative,room,Housekeeping,dirty,Negative,50.00,Exact_match,
40,,breakfast ,Food and beverage,disgusting,Negative,breakfast,Food and Beverage,disgusting,Negative,,Exact_match,
40,,bed ,Furniture ,hard ,Negative,bed,Furniture,hard as concrete,Negative,,partial_match,span_misalignment
40,,room ,Engineering,plumbing problem,Negative,room,Engineering,smelled like plumbing problem,Negative,,partial_match,span_misalignment
